编号,出题人,知识领域,问题,答案,难度,来源文件,答案出处（如有，贴截图）,测试人员,测试结果（通过/不通过）,AI知识回答原文,备注,Result,结果
21.0,张皓天,施工,根据《建设工程项目管理规范》，项目管理机构负责人的职责是谁？,对各类资源进行质量监控和动态管理,中,非库内规范,,石瑞宇,不通过,根据《建设工程项目管理规范》，项目管理机构负责人通常由监理单位派驻的项目监理机构负责人担任。监理单位会将监理机构组织形式、人员构成以及监理机构负责人的任命书面通知项目管理机构。在项目管理中，监理机构负责人承担着监督和管理项目的责任，确保工程施工符合相关法律法规和质量标准。,,未通过,
22.0,张皓天,施工,根据《建设工程安全生产管理条例》，专项施工方案应经谁签字后实施。,施工单位技术负责人和总监理工程师,中,非库内规范,,石瑞宇,通过,根据《建设工程安全生产管理条例》，专项施工方案应经施工单位技术负责人审核签字、加盖单位公章，并由总监理工程师审查签字、加盖执业印章后方可实施。对于危大工程实行分包的情况，专项施工方案应由总承包单位技术负责人及分包单位技术负责人共同审核签字并加盖单位公章。,,未通过,
23.0,张皓天,施工,以承包商为某项工作所支付的实际开支为根据，同业主要求费用补偿的索赔费用的计算方法是什么？,实际费用法,中,非库内规范,,石瑞宇,不通过,"根据提供的资料，如以承包商为某项工作所支付的实际开支为根据，同业主要求费用补偿的索赔费用的计算方法主要包括以下步骤：
1.提出索赔意向书，经监理工程师签字确认，并收集证据确凿、理由充分。
2.辨别索赔的原因和起止日期计算方法，如延期发出图纸引起的索赔、恶劣气候条件导致的索赔、工程变更导致的索赔等。
3.做好同期记录并记录完整，包括现场照片和录像资料。
4.提交详细情况报告和最终索赔报告，包括索赔申请表、批复的索赔意向书、编制说明、相关往来文件和证明材料等。
5.承包人应向监理工程师提交索赔事件的阶段性详细情况报告，说明损失款额影响程度及费用索赔的依据。
6.索赔成立的前提条件包括事件已造成额外支出或工期损失，原因不属于承包人责任，承包人按规定提交索赔意向通知和报告。
7.最后，索赔的解决方式可以通过友好协商、调解解决，也可委托律师向仲裁机构申请仲裁或向法院提起诉讼解决。",,未通过,
24.0,张皓天,施工,"某工程因混凝土体软违反规程要求导致发生质量事故，事故造成1人死亡，政府经济损失2000
万元，该质量事故的等级是多少？",较大事故,中,非库内规范,,石瑞宇,不通过,"根据提供的资料，工程质量事故根据人员伤亡数量和直接经济损失额度被分为4个等级。具体情况如下：
-一般质量事故规定了直接经济损失下限为100万元。
-根据资料中提到的情况，质量事故导致1人死亡，政府经济损失为2000万元，因此该质量事故的等级应该为重大事故级别。",,未通过,
25.0,张皓天,施工,项目分包工程预验收的组织单位应是谁？,总包单位,中,非库内规范,,石瑞宇,不通过,项目分包工程预验收的组织单位应是建设单位或总监理工程师组织施工单位的项目负责人、项目技术质量负责人及相关人员进行验收。在单位工程有分包单位施工时，总承包单位应负责对建设单位，分包单位负责对总承包单位和建设单位负责，分包单位负责人也应参加验收。验收应由建设单位组织，参与人员包括设计、施工单位负责人或项目负责人、技术、质量负责人，监理单位的总监理工程师等。,,未通过,
26.0,张皓天,施工,当电动机绝缘电阻达到规范要求，在同一温度下经多长时间稳定不变认定为干燥完毕？,5h,中,非库内规范,,石瑞宇,通过,根据给出的基础资料，当电动机绝缘电阻达到规范要求，在同一温度下经过5小时稳定不变后可以认定为干燥完毕。此时，电动机的绝缘电阻应符合规范要求，且在相同温度下保持稳定不变5小时以上。在干燥过程中还需注意控制温度上升速度、最高允许温度和其他相关要求，以确保干燥效果达标。,,未通过,
27.0,张皓天,施工,工业管道中，压缩空气管道的颜色是多少？,淡灰色,中,非库内规范,,石瑞宇,不通过,在工业管道中，压缩空气管道的颜色并没有统一规定。根据提供的基础资料，在工程实践中，当干燥压缩空气输送露点低于76℃时，建议采用内壁电抛光不锈钢管或不锈钢管或热镀锌碳钢管。因此，压缩空气管道的颜色可能取决于所选用的管道材质。在医用气体管道中，不同的医用气体有对应的颜色和标识代号，但这些颜色规定是针对医用气体而非压缩空气管道。因此，仅凭颜色无法确定压缩空气管道的具体颜色。对于工业管道中的压缩空气管道，请根据工程实际情况选择合适的材质并进行标识。,,未通过,
28.0,张皓天,施工,在建筑给水管道中，薄壁不锈钢管道应采用什么形式连接？,卡压连接,中,非库内规范,,石瑞宇,通过,在建筑给水管道中，薄壁不锈钢管道应采用环压、卡凸式、卡压、沟槽式、法兰等连接形式。根据规定，公称直径为DN25～50的薄壁不锈钢管道与其他材料的管道连接时，应采用专用螺纹转换连接件，公称直径为DN65～100的薄壁不锈钢管道与其他材料的管道连接时，宜采用专用法兰转换连接件，而公称直径DN≥125的薄壁不锈钢管道与其他材料的管道连接时，宜采用沟槽式管件连接或法兰连接。,,未通过,
29.0,张皓天,施工,根据《建筑工程施工质量验收统一标准》，主体节能工程检验批验收和隐蔽工程验收主体是谁？,监理工程师,中,非库内规范,,向希胜,通过,根据《建筑工程施工质量验收统一标准》，主体节能工程检验批验收和隐蔽工程验收应该由专业监理工程师组织并主持。施工单位相关专业的质量检查员与施工员也应该参加验收。,,未通过,
30.0,张皓天,施工,施工企业在施工过程中未采取相应防范措施，对第三方造成损害而产生的纠纷属于什么纠纷？,侵权纠纷,中,非库内规范,,向希胜,不通过,施工企业在施工过程中未采取相应防范措施，对第三方造成损害而产生的纠纷属于施工纠纷。在工程施工中，如果承包方未采取必要的措施导致对其他相关方造成损失，造成纠纷的情况属于施工纠纷范畴。通常情况下，这类纠纷需要通过协商、调解、仲裁或诉讼等方式进行解决。在工程总承包模式下，如出现类似情况，需要根据合同约定和相关法律法规进行处理，保护各方合法权益，尽量避免纠纷的扩大和进一步损失的发生。,,未通过,
,,,,,,,,向希胜,,,,未通过,
1.0,张宏瑞,结构,模板支架安装应满足哪些主要指标要求？,承载力、刚度、整体稳固性,中,GB50204-2015,,向希胜,通过,"支架安装应满足以下主要指标要求：
1.土层应坚实、平整，其承载力或密实度应符合施工方案要求；
2.应有防水、排水措施，对冻胀性土应有预防冻融措施；
3.支架竖杆下应有底座或垫板；
4.模板及支架应根据安装、使用和拆除工况进行设计，满足承载力、刚度和整体稳固性要求；
5.固定式支架安装的验收应符合国家标准相关规定，包括紧固点牢固、垂直度、水平度和角度偏差符合规定、防腐处理符合设计要求等；
6.跟踪式支架安装的验收也应符合国家标准相关规定，包括紧固点牢固、手动动作符合设计要求、自动模式动作符合设计要求等。",,未通过,
2.0,张宏瑞,结构,刚进进场验收，有哪些主控项目，如何检查？,,低,GB50204-2015,,向希胜,不通过,"刚进场验收时，主控项目包括但不限于管道测绘放线、管道元件检验、管道支吊架安装、管道预制、管道及配件安装、防腐绝热等项目。具体检查方法包括对管道材料、规格、外观等进行验收，并进行强度和严密性试验；对管道支吊架进行安装检查，确保符合规范要求；对管道预制进行编号分组并注意运输方便；在管道安装过程中，遵循一定的先后顺序，注意水平和垂直安装要求；最后要对管道进行防腐处理，确保管道质量和持久性。

",,未通过,
3.0,张宏瑞,结构,对于二级抗震等级设计的框架架构，纵向受力钢筋强屈比的实测合格范围是多少？,1.25-1.3,中,GB50204-2015,,向希胜,通过,根据资料，对于二级抗震等级设计的框架结构中的纵向受力钢筋，其抗拉强度实测值与屈服强度实测值的比值不应小于1.25，屈服强度实测值与屈服强度标准值的比值不应大于1.3，最大拉力下的总伸长率实测值不应小于9%。因此，二级抗震等级设计的框架架构中，纵向受力钢筋强屈比的实测合格范围应在1.25到1.3之间，总伸长率不小于9%。,,未通过,
4.0,张宏瑞,结构,纵向受力钢筋间距偏差最大不得超过多少？,±10mm,中,GB50204-2015,,向希胜,通过,"根据提供的资料，结构实体纵向受力钢筋保护层厚度的允许偏差应符合表E.0.4的规定。对于梁类构件，允许偏差为+10,一7mm；对于板类构件，允许偏差为+8,一5mm。因此，纵向受力钢筋间距偏差最大不得超过上述规定的偏差数值。",,未通过,
5.0,张宏瑞,结构,现浇混凝土结构有哪些常见的外观质量缺陷，如何判定缺陷严重程度,,低,GB50204-2015,,向希胜,通过,现浇混凝土结构常见的外观质量缺陷包括露筋、蜂窝、孔洞、夹渣、疏松、裂缝、连接部位缺陷、外形缺陷和外表缺陷等。这些缺陷会根据其严重程度被分为严重缺陷和一般缺陷。严重缺陷通常会对结构性能、使用功能或耐久性造成影响。施工单位在发现严重缺陷时，应提出技术处理方案，并经监理单位认可后进行处理和重新检查验收。对于缺陷严重程度的判定，应根据表8.1.2中的具体情况进行评定。,,未通过,
6.0,张宏瑞,结构,如何定义大体积混凝土,,低,GB50496-2018,,向希胜,通过,大体积混凝土是指混凝土结构物实体最小尺寸不小于1m的大体量混凝土，或者是预计会因混凝土中胶凝材料水化引起的温度变化和收缩而导致有害裂缝产生的混凝土。在施工中，针对大体积混凝土的留置作规定是必要的，确保混凝土的质量和稳定性。,,未通过,
7.0,张宏瑞,给排水,外径800的承插链接混凝土排水管道，管道一侧应当留置的工作面宽度是多少？,400mm,中,GB50268-2008,,向希胜,不通过,根据提供的基础资料，对于外径为800的混凝土排水管道，管道一侧应当留置的工作面宽度应为800mm。根据表4.3.2中的数据，当管道外径在1500,,未通过,
8.0,张宏瑞,地基基础,如何判定一个基坑是否需要进行基坑工程监测？,,低,GB50497-2019,,向希胜,通过,"根据提供的基础资料，判定一个基坑是否需要进行基坑工程监测的情况包括：
1.开挖深度大于等于5m或者开挖深度小于5m但现场地质情况和周围环境较复杂的基坑工程需要实施基坑工程监测。
2.基坑工程现场监测的对象包括支护结构、地下水状况、基坑底部及周边上体、周边建筑、周边管线及设施、周边重要的道路等。
3.监测点的布置应反映监测对象的实际状态及变化趋势，布置在内力及变形关键特征点上。
4.监测频率的确定应能系统反映监测对象所测项目的重要变化过程而不遗漏其变化时刻的要求。
5.当出现监测数据达到报警值、变化较大、存在不良地质、施工违反设计工况、周边环境发生变化等情况时，应提高监测频率。
6.监测单位应具备岩土工程和工程测量两方面的专业能力，并应有监测程序、审核制度等相关工作制度。
7.监测报警值应满足基坑工程设计、地下结构设计以及周边环境中被保护对象的控制要求，由基坑工程设计方确定。
8.当监测数据达到监测报警的累计值或出现基坑支护结构或周边土体的突然明显变化时，必须立即进行危险报警并采取应急措施。

因此，在设计安全等级、工程地质条件、设计计算结果等因素确定基坑工程监测预警值的基础上，需要根据上述规定来判定一个基坑是否需要进行基坑工程监测。",,未通过,
9.0,张宏瑞,结构,基坑监测方案应当包含哪些内容,,低,GB50497-2019,,向希胜,通过,基坑监测方案应当包含工程概况、场地工程地质水文地质条件、监测目的、监测范围对象项目、监测方法精度等级、监测人员配备仪器设备、监测期监测频率、监测数据处理分析信息反馈、监测预警异常情况监测措施、质量管理监测作业安全管理制度等内容。同时，现场监测对象应包括支护结构、基坑及周围岩土体、地下水、周边环境中的被保护对象等。监测需要根据不同基坑工程的施工阶段、周边环境变化等因素确定监测频率，必要时提高监测频率以确保基坑及周边环境的安全。,,未通过,
10.0,张宏瑞,结构,某项目基坑工程需要进行监测，已知基坑起始深度为正负零，0m~5m为黏土，5m以下直至坑底为粉砂层，图纸说明该基坑工程安全等级为二级，有哪些需要监测的项目？,,低,GB50497-2019,,向希胜,不通过,根据提供的资料，基坑工程监测需要监测的项目包括：支护结构、地下水状况、基坑底部及周边上体、周边建筑、周边管线及设施、周边重要的道路以及其他需要监测的对象。监测点的布置应能反映监测对象的实际状态及其变化趋势，并满足监控要求。监测频率的确定应综合考虑基坑类别、施工阶段、周边环境和自然条件的变化，确保能系统反映重要变化过程且不遗漏变化时刻的要求。出现特定情况时，应提高监测频率并进行必要的危险报警和应急措施。,,未通过,
11.0,张宏瑞,装备,塔式起重机垂直度规范要求？,JGJ196-2010《建筑施工塔式起重机安装、使用、拆卸安全技术规程》第30页对塔吊垂直度要求规定如下：独立状态或附着状态下最高附着点以上塔身轴线对支承面垂直度不得大于4/1000，最高附着点下塔身轴线对支承面垂直度不得大于相应高度的2/1000。,低,非库内规范,,向希胜,不通过,塔式起重机垂直度规范要求是根据塔的高度来确定的。当塔高度小于等于30000时，允许的偏差应为塔高度的1/1000；当塔高度大于30000时，允许的偏差应为塔高度的0.6/1000。此外，塔式起重机还需要符合电气设备、接地装置、安全距离、夜间工作照明等要求，并且必须配备起重力矩限制器、起重量限制器、行程限位装置等安全装置。吊具、索具的选择和使用也需要符合相关行业标准，钢丝绳等部件的安装也有具体要求。在顶升（降节）作业前，需要对相关机构、结构进行专项安全检查。,,未通过,
12.0,张宏瑞,施工,双排扣件式钢管脚手架的主节点是指,立杆、纵向和横向水平杆三杆交接处的扣接点,低,非库内规范,,向希胜,不通过,"双排扣件式钢管脚手架的主节点是指扣件式钢管架体安全带系挂点。在操作平台防护栏杆上设置安全带挂点，确保操作人员在高空作业时可以正确使用安全带进行保护。这是在搭建双排扣件式钢管脚手架时需要特别注意的主要节点之一。

",,未通过,
13.0,张宏瑞,施工,二级抗震设计要求下，梁箍筋加密区范围、非底层柱箍筋加密区范围（答案在钢筋平法图集，最新的没来的及看了，这应该是16g101，应该更新了）,"梁：二级抗震下加密范围从柱边开始，框架梁箍筋加密长度为1.5倍的梁高，且加密区总长要大于500mm。
柱：二级抗震非底层柱加密区取柱长边尺寸（圆柱的直径）、楼层柱净高的1/6,及500mm三者数值中的最大者为加密范围。",低,非库内规范,,向希胜,不通过,"根据提供的资料，柱箍筋加密区范围和非底层柱箍筋加密区范围的要求如下：
1.柱箍筋加密区范围：
-加密区箍筋的最大间距和最小直径不应低于表6.3.5-2的要求。
-二级框架柱的箍筋直径不小于10mm，箍筋肢距不大于200mm时，除柱根外，最大间距可为150mm。
-三级框架柱的截面尺寸不大于400mm时，箍筋最小直径应允许为6mm。
-框架柱剪跨比不大于2时，箍筋直径不应小于8mm。
-贮仓支承柱和剪跨比不大于2的框架柱，箍筋间距不应大于100mm。

2.柱非加密区的要求：
-非加密区的实际箍筋量不应小于加密区的50%。
-箍筋间距，一、二级柱箍筋不应大于纵向钢筋直径的10倍，三级不应大于纵向钢筋直径的15倍。

需要注意的是，具体的要求应严格按照提供的表格和规定执行，以确保设计符合相关标准和规范要求。",,未通过,
14.0,张宏瑞,施工,请描述悬挑梁及板施工时，混凝土浇筑方向,由悬挑梁板端部向悬挑支座方向浇筑,低,非库内规范,,向希胜,不通过,在悬挑梁及板施工时，混凝土浇筑方向通常是垂直施工。这意味着混凝土会从上方向下方浇注，以确保混凝土能够均匀填充悬挑梁及板的模板中，并保证施工质量。此外，垂直施工还有利于混凝土的密实性和整体强度，提高工程的安全性和稳定性。混凝土浇筑方向的选择可以根据具体设计要求和施工方案来确定，以确保施工质量和工程安全。,,未通过,
15.0,张宏瑞,,"请写出图中JZL5集中标注各参数含义，包括梁名称等
（钢筋符号打不出来截图了）",,中,非库内规范,,向希胜,不通过,"根据提供的资料，对于梁式桥桥墩的自振特性计算，可以按照附录D中的公式和方法进行计算。具体参数含义如下：
1.特征方程中的参数含义：
-[M]：桥墩体系质量矩阵
-w：自振圆频率
-[K]：桥墩体系的刚度矩阵
-{x}：振型函数向量

2.自振周期中的参数含义：
-w,：桥墩体系的振型自振圆频率（单位为rad/s）
-T：桥墩体系的振型自振周期（单位为s）

另外，在附录D.2中，提供了实体、空心桥墩或刚架桥墩简化计算方法，其中墩身广义刚度K的计算可以参考表D.2.1。表中给出了不同墩形和振动方向对应的墩身广义刚度计算公式，需要根据实际情况选择相应的公式进行计算。

因钢筋符号无法显示，建议您查阅具体资料或标准以获取完整的计算参数和符号含义。希望以上信息能够帮助您理解梁式桥桥墩的自振特性计算。如有其他问题，请随时提出。",,未通过,
16.0,张宏瑞,施工,市政给排水水工构筑物中，沉井终沉封底前，下沉速率应当控制在什么值以内，才可以进行封底作业,10mm/8h（GB50141）,低,非库内规范,,向希胜,不通过,"根据提供的资料，沉井下沉及封底施工过程中，沉井终沉封底前，沉井顺利下沉和稳定性是非常重要的。根据规定，沉井终沉的允许偏差应符合以下规定：
1.沉井四角高差不得超过下沉总深度的1.5%~2.0%，且不超过500mm；
2.沉井顶面中心位移不得超过下沉总深度的1.5%，且不超过300mm；
3.下沉到位后，刃脚平面中心位置不得超过下沉总深度的1%；
4.下沉到位后，沉井四角中任何两角的刃脚底面高差不得超过该两角间水平距离的1%，且不超过300mm；

因此，在进行封底作业前，沉井终沉时的偏差应符合上述规定。同时，沉井稳定的标准是在8小时内下沉量不大于100mm时才可以进行封底。如果封底面积较大，建议使用多根导管同时或逐管浇筑，并根据相关规定进行施工验收。",,未通过,
17.0,张宏瑞,施工,搭设高度35m的落地式钢管脚手架工程，是否需要编写专项方案，为什么，专项方案应该包含哪些内容,"1、需要
2、属危险性较大分部分项工程
危大工程专项施工方案的主要内容应当包括：

（一）工程概况：危大工程概况和特点、施工平面布置、施工要求和技术保证条件；

（二）编制依据：相关法律、法规、规范性文件、标准、规范及施工图设计文件、施工组织设计等；

（三）施工计划：包括施工进度计划、材料与设备计划；

（四）施工工艺技术：技术参数、工艺流程、施工方法、操作要求、检查要求等；

（五）施工安全保证措施：组织保障措施、技术措施、监测监控措施等；

（六）施工管理及作业人员配备和分工：施工管理人员、专职安全生产管理人员、特种作业人员、其他作业人员等；

（七）验收要求：验收标准、验收程序、验收内容、验收人员等；

（八）应急处置措施；

（九）计算书及相关施工图纸。",低,非库内规范（参照31号文）,,向希胜,通过,"
根据提供的基础资料，搭设高度35m的落地式钢管脚手架工程是一个危险性较大的工程，因此需要编写专项方案。专项方案应包括工程概况、施工平面布置图、施工要求和技术保证条件、技术参数、工艺流程、施工方法、技术措施、应急预案、监测监控、安全管理人员及特种作业员的要求、检查验收、相关计算书及施工图纸等内容。在编制专项方案时，需要特别关注工程安全施工要求，并确保脚手架工程的安全搭设和使用。",,未通过,
18.0,张宏瑞,施工,项目施工使用的sbs防水卷材，施工时搭接宽度应该不少于？,,低,GB50345-2012,,徐世强,,"根据提供的资料，sbs防水卷材施工时搭接宽度不应小于80mm，且允许偏差为±10mm。因此，施工时搭接宽度应该不少于80mm，且允许偏差为±10mm。同时，需要注意搭接部位采用满粘法，保证防水效果。

共4条引用
1、245GB50208-2011[A000]地下防水工程质量验收规范_规范-->4主体结构防水工程-->4.3卷材防水层-->4.3.20卷材搭接宽度的允许偏差应为一10mm。
2、303GB50345-2012[A010]屋面工程技术规范条文解释_条文说明-->5屋面工程施工-->5.3保温层和隔热层施工-->5.3.3本条对隔汽层施工作出了规定_
3、159、地下防水工程质量验收规范_规范-->4主体结构防水工程-->4.3卷材防水层-->4.3.20卷材搭接宽度的允许偏差应为一10mm。
4、244GB50207-2012[A000]屋面工程质量验收规范_规范-->6防水与密封工程-->6.2卷材防水层-->6.2.15卷材防水层的铺贴方向应正确，卷材搭接宽度的允许偏差为一10mm。
",,未通过,
19.0,张宏瑞,施工,营业税改增值税以后，简易计税方法，税率是,3%,低,非库内规范,,徐世强,通过,"营业税改增值税后，简易计税方法的税率是3%。根据企业增值税相关法规规定，小规模纳税人适用的增值税税率为3%。所以在这种情况下，简易计税方法的税率是3%。如果您是小规模纳税人，则适用3%的税率进行计税。希望能够帮助到您。如果您有其他问题，请随时提出。

共4条引用
1、386GB51083T-2015[A010]城市节水评价标准_规范-->4评价内容与指标计算方法-->4.2指标计算方法-->4.2.9污水处理费征收率应按下式计算_
2、WM_2024年一建法规-电子版教材_专业文件-->第1章建设工程基本法律知识-->1.5建设工程税收制度-->1.5.2企业增值税
3、46a广联达安装计量常见问题集一_专业文件-->安装通用技巧功能-->查量出来，它还是只算了一次，没乘根数，是不是因为软件升级了，
4、WM_2024年一建法规-电子版教材_专业文件-->第1章建设工程基本法律知识-->1.5建设工程税收制度-->1.5.1企业所得税
",,未通过,
20.0,张宏瑞,施工,在地铁线路上，两种不同性质的列车进站进行客流换乘的站台属于？,联运站,低,非库内规范,,徐世强,不通过,"根据提供的资料，两种不同性质的列车进站进行客流换乘的站台属于换乘车站。换乘车站应采用付费区内换乘的形式，可以采用同站台换乘或通道换乘等形式。换乘车站的设计应根据换乘方式和客流方向确定线路相对位置，以确保换乘的便利性和效率。

共4条引用
1、222GB50157-2013[A010]地铁设计规范_规范-->9车站建筑-->9.9换乘车站-->9.9.3换乘车站应采用付费区内换乘的形式。
2、222GB50157-2013[A010]地铁设计规范的条文解释_条文说明-->6线路-->6.1一般规定-->6.1.5第1款应按各线独立运营为原则，换乘车站宜采用一点两线换乘形式，包括垂直和平行相交，是一
3、222GB50157-2013[A010]地铁设计规范的条文解释_条文说明-->19火灾自动报警系统-->19.5消防控制室-->19.5.3换乘车站的换乘方式有多种形式，对于采取同站台换乘等形式的换乘车站建议采用集中控
4、367GB50833T-2012[A010]城市轨道交通工程基本术语标准_规范-->4行车组织-->4.0.9换乘站transferstation
",,未通过,
21.0,张宏瑞,施工,水泥混凝土路面采用滑模、轨道摊铺工艺施工，当施工气温为20℃时，水泥混凝土拌合物从出料到运输、铺筑完毕分别允许的最长时间是,1h;1.5h,低,非库内规范,,徐世强,通过,"根据提供的基础资料，当施工气温为20℃时，水泥混凝土拌合物允许的最长时间从出料到运输为0.5小时，从运输到铺筑完毕则根据表5.2.4-2的规定，为90分钟。因此，水泥混凝土拌合物从出料到铺筑完毕的允许最长时间为0.5小时（运输）+90分钟（铺筑）=2小时（120分钟）。

共4条引用
1、211GB50113T-2019[A000]滑动模板工程技术标准_规范-->7特种滑模施工-->7.1大体积混凝土施工-->7.1.3当长度较大的构筑物整体浇筑时，其滑模装置应分段自成体系，分段长度不宜大于20m_体系间接头处的模板应衔接平滑。
2、382GB51033T-2014[A010]水利泵站施工及验收规范_规范-->5泵房施工-->5.2钢筋混凝土-->5.2.4混凝土运输和浇筑应符合下列规定_
3、211GB50113T-2019[A000]滑动模板工程技术标准_规范-->6滑模施工-->6.4混凝土-->6.4.4当采用布料机布送混凝土时，应进行专项设计，并应符合下列规定_
4、337GB50596T-2010[A110]雨水集蓄利用工程技术规范_规范-->7施工与设备安装-->7.0.3混凝土及砂浆施工应符合下列要求_
",,未通过,
22.0,张宏瑞,施工,重载交通、停车场等行车速度慢的路段，宜选用的沥青针入度指标应当大一些还是小一些、软化点指标应当高一些还是低一些,针入度小、软化点高,低,非库内规范,,徐世强,通过,"根据提供的资料，对于重载交通、停车场等行车速度慢的路段，应选择沥青针入度指标大一些，软化点指标应当低一些。沥青软化点应低于90℃，而沥青针入度应选择大一些能够提高沥青的粘稠度和耐磨性，适合用于承载交通压力较大的路段。同时，软化点指标低一些有助于增加沥青的柔韧性，适应路面承受交通负荷的变化。综合考虑，对于行车速度慢且交通压力大的路段，宜选择沥青针入度大一些，软化点指标低一些的沥青材料。

共4条引用
1、248GB50212-2014[A010]建筑防腐蚀工程施工规范_规范-->11沥青类防腐蚀工程-->11.5碎石灌沥青垫层-->11.5.2沥青软化点应低于90℃_石料应干燥，材质应符合设计
2、210GB50111-2006[A010]铁路工程抗震设计规范（2009年版）_规范-->5线路-->5.0.3当线路通过可液化土与软土等松软地区时，宜选择在地表有较厚非液化土层或硬壳层处，并宜设置低路堤。
3、248GB50212-2014[A010]建筑防腐蚀工程施工规范_规范-->附录A原材料和制成品的试验方法-->0.03——每毫摩尔滴定液相当的甲醛的克数。
4、248GB50212-2014[A010]建筑防腐蚀工程施工规范_规范-->11沥青类防腐蚀工程-->11.2原材料和制成品的质量要求-->11.2.4粗骨料宜选用石英石，沥青混凝土骨料粒径不宜大于25mm_碎石灌沥青的石料粒径应为30mm～60mm。耐酸度不应小于95%。
",,未通过,
23.0,张宏瑞,施工,钢筋电渣压力焊，焊接后如何通过观察法判定焊接质量。,JGJ18-2012,低,非库内规范,,徐世强,,"通过观察法判定钢筋电渣压力焊的焊接质量主要可以从焊缝外观检验、焊缝表面无损检测以及焊缝内部无损检测等方面进行判定。

1.焊缝外观检验：焊缝表面的形状尺寸及外观质量要求应符合设计要求或国家标准。焊缝表面应该没有裂纹、未焊透、未熔合、表面气孔、未焊满等缺陷，同时几何尺寸也要符合要求。

2.焊缝表面无损检测：根据设计文件要求可进行磁粉检测（MT）或渗透检测（PT）。检测前要确保焊缝表面清洁，并不得有铁锈、焊渣、焊接飞溅等。检测结果应符合相关标准。

3.焊缝内部无损检测：可采用射线检测或超声检测。射线检测可以获得缺陷的投影图像，检测率较高，但也有一定局限性；超声检测的优点包括检出率较高、可测量缺陷自身高度等，但对于缺陷定性方面有一定困难。

需要注意的是，在检测前应根据设计文件要求进行相关准备工作，确保检测的准确性。焊后质量检验应遵循相关标准和规范，确保焊接质量符合要求。

共4条引用
1、258GB50236-2011[A110]现场设备、工业管道焊接工程施工规范_规范-->13焊接检验及焊接工程交接-->13.3焊接后检查-->13.3.4焊缝的内部质量应按设计文件和国家现行有关标准的规定进行射线检测或超声检测，并应符合下列规定_
2、24年一建机电-官方教材_专业文件-->第2章机电工程专业技术-->2.3焊接技术-->2.3.4焊接质量检验-->5.焊后质量检验
3、258GB50236-2011[A110]现场设备、工业管道焊接工程施工规范_规范-->13焊接检验及焊接工程交接-->13.2焊接中间检查-->13.2.1定位焊缝焊完后，应清除渣皮进行检查，其质量应符合本规范及焊接工艺文件的规定。对发现的缺陷清除后，再进行焊接。
4、243GB50205-2020[A000]钢结构工程施工质量验收标准_规范-->5焊接工程-->5.1一般规定-->5.1.1本章适用于钢结构制作和安装中的钢构件焊接和栓钉(焊",,未通过,
24.0,张宏瑞,施工,预应力混凝土孔道压浆，当设计无要求时，水泥浆强度应满足什么要求,不低于30MPa,低,非库内规范,,徐世强,通过,"根据提供的资料，当设计无要求时，预应力混凝土孔道压浆中水泥浆的抗压强度应不小于30MPa。水泥浆的试块留置应每个工作班至少留置一组，每组六块进行试验，确保符合相关规定。同时，水泥浆应饱满、密实，在灌浆过程中应采用真空灌浆法。水泥浆的水灰比应在0.4～0.45之间，并应掺入0.01%水泥用量的铝粉，搅拌后泌水率不宜大于2%。灌浆后的水泥砂浆强度应满足设计要求。如果在设计文件中未指定要求，则水泥浆的抗压强度不应小于30MPa。

共4条引用
1、242GB50204-2015[A010]混凝土结构工程施工质量验收规范_规范-->6预应力分项工程-->6.2材料-->6.2.5孔道灌浆用水泥应采用硅酸盐水泥或普通硅酸盐水泥，水泥、外加剂的质量应分别符合本规范第7
2、157、给水排水构筑物工程施工及验收规范_规范-->6水处理构筑物-->6.4预应力混凝土结构-->6.4.14有粘结预应力筋张拉后应尽早进行孔道灌浆；孔道水泥浆灌浆应符合下列规定：
3、157、给水排水构筑物工程施工及验收规范_规范-->6水处理构筑物-->6.8质量验收标准-->6.8.6后张法预应力混凝土应符合下列规定：
4、295GB50334-2017[X010]城镇污水处理厂工程质量验收规范_规范-->6污水与污泥处理构筑物-->6.4无粘结预应力混凝土构筑物-->6.4.4预应力张拉时的混凝土强度和弹性模量应符合设计文件的要求。当设计文件无要求时，混凝土的强度不应小于设计强度等级的75%_弹性模量不应小于混凝土28d弹性模量的75%。
",,未通过,
